"Regio's";"Nederland";"Groningen (PV)";"Fryslân (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)";"Niet in te delen (PV)"
"Onderwijssoort";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Totaal voortgezet onderwijs";"950447";"28778";"37326";"28123";"68774";"26638";"117834";"80271";"154059";"199179";"19870";"136385";"50900";"2310"
"Vo algemene leerjaren 1-3";"382312";"11405";"15372";"11215";"27683";"11218";"46575";"32573";"61450";"80484";"7925";"55348";"20105";"959"
"Vwo 3-6";"173107";"4858";"5530";"4083";"10296";"3597";"20773";"17906";"32120";"37363";"2944";"24059";"9196";"382"
"Havo 3-5";"164148";"4716";"6299";"4732";"11851";"4469";"21132";"13724";"26947";"33054";"3744";"23944";"9073";"463"
"Vmbo theoretische-gemengde leerweg 3-4";"110331";"3353";"4722";"3558";"8808";"3208";"13867";"7968";"16385";"22860";"2517";"17038";"5838";"209"
"Vmbo basis-kaderberoeps 3-4";"91235";"3150";"4122";"3426";"7919";"3072";"11841";"6260";"12908";"18561";"2112";"12615";"5041";"208"
"Praktijkonderwijs";"29314";"1296";"1281";"1109";"2217";"1074";"3646";"1840";"4249";"6857";"628";"3381";"1647";"89"
"Vavo";"15610";"425";"469";"450";"1168";"331";"2198";"1105";"3060";"3198";"261";"1895";"978";"72"
"Totaal middelbaar beroepsonderwijs";"503854";"19859";"24514";"17896";"41410";"16163";"64576";"33753";"70947";"102692";"11338";"70625";"28350";"1731"
"Mbo bol";"373487";"15211";"18756";"13279";"30124";"12331";"46793";"25090";"52522";"78250";"7468";"51195";"21441";"1027"
"Mbo bbl";"130367";"4648";"5758";"4617";"11286";"3832";"17783";"8663";"18425";"24442";"3870";"19430";"6909";"704"
"Assistentopleiding (niveau 1)";"16257";"688";"963";"422";"1227";"486";"1602";"962";"2740";"4124";"237";"1905";"763";"138"
"Basisberoepsopleiding (niveau 2)";"83167";"3507";"3547";"2869";"6561";"2946";"10765";"5581";"12973";"17960";"1809";"10236";"4117";"296"
"Vakopleiding (niveau 3)";"119958";"4667";"6730";"4544";"9968";"3805";"15867";"6906";"16049";"23711";"3277";"16698";"7263";"473"
"Middenkaderopleiding (niveau 4a)";"284160";"10993";"13273";"10055";"23634";"8919";"36318";"20285";"39110";"56828";"5991";"41738";"16193";"823"
"Specialistenopleiding (niveau 4b)";"312";"4";"1";"6";"20";"7";"24";"19";"75";"69";"24";"48";"14";"1"
"Hoger beroepsonderwijs";"463382";"21728";"20136";"10557";"34220";"10782";"53623";"35532";"65597";"92961";"7093";"70015";"25249";"15889"
"Wetenschappelijk onderwijs";"306895";"21593";"3031";"2287";"12825";"2907";"31997";"29435";"52856";"74275";"1633";"31052";"14058";"28946"
